"id","text","author"
"id19925","With how deep a spirit of wonder and perplexity was I wont to regard him from our remote pew in the gallery, as, with step solemn and slow, he ascended the pulpit This reverend man, with countenance so demurely benign, with robes so glossy and so clerically flowing, with wig so minutely powdered, so rigid and so vast, could this be he who, of late, with sour visage, and in snuffy habiliments, administered, ferule in hand, the Draconian laws of the academy?","EAP"
"id01704","These bizarre attempts at explanation were followed by others equally bizarre.","EAP"
"id10125","For many prodigies and signs had taken place, and far and wide, over sea and land, the black wings of the Pestilence were spread abroad.","EAP"
"id02448","All that as yet can fairly be said to be known is, that 'Pure gold can be made at will, and very readily from lead in connection with certain other substances, in kind and in proportions, unknown.' Speculation, of course, is busy as to the immediate and ultimate results of this discovery a discovery which few thinking persons will hesitate in referring to an increased interest in the matter of gold generally, by the late developments in California; and this reflection brings us inevitably to another the exceeding inopportuneness of Von Kempelen's analysis.","EAP"
"id23451","I seemed to be upon the verge of comprehension without power to comprehend men, at times, find themselves upon the brink of remembrance without being able, in the end, to remember.","EAP"
"id27907","Our compasses, depth gauges, and other delicate instruments were ruined; so that henceforth our only reckoning would be guesswork, based on our watches, the calendar, and our apparent drift as judged by any objects we might spy through the portholes or from the conning tower.","HPL"
"id08121","This the young warriors took back with them to Sarnath as a symbol of conquest over the old gods and beings of Ib, and a sign of leadership in Mnar.","HPL"
"id15222","Meantime the whole Paradise of Arnheim bursts upon the view.","EAP"
"id00764","I was rich and young, and had a guardian appointed for me; and all about me would act as if I were one of their great society, while I must keep the secret that I really was cut off from them for ever.","MWS"
"id00683","We could make out little by the dim light, but they seemed to contain prophecies, detailed relations of events but lately passed; names, now well known, but of modern date; and often exclamations of exultation or woe, of victory or defeat, were traced on their thin scant pages.","MWS"
"id11733","Even now They talked in Their tombs.","HPL"
id20058","For Arthur Munroe was dead.","HPL"
"id20975","Nor did I doubt, that in the tranquillity of our family circle at Windsor, she would recover some degree of composure, and in the end, of happiness.","MWS"
"id15401","These Great Old Ones, Castro continued, were not composed altogether of flesh and blood.","HPL"
"id18143","Having thus fathomed, to his satisfaction, the intentions of Jehovah, out of these intentions he built his innumerable systems of mind.","EAP"
"id22919","No man could crush a ""butterfly on the wheel"" with better effect; no man better cover a speedy retreat from a powerful adversary.","MWS"
"id19258","In fact, to write upon such a theme it is necessary to have been hanged.","EAP"
"id02011","Their still apparent union permitted her to do much; but no woman could, in the end, present a remedy to the encreasing negligence of the Protector; who, as if seized with a paroxysm of insanity, trampled on all ceremony, all order, all duty, and gave himself up to license.","MWS"
"id19374","When the old woman began to turn toward him he fled precipitately off the bridge and into the shelter of the town's labyrinthine waterfront alleys.","HPL"
"id23978","The rooks cawed loudly in the trees above; mixed with their hoarse cries I heard a lively strain of music.","MWS"
"id05170","I took it because of the queer old brick well in the cellar one of the sort I told you about.","HPL"
"id10724","No sympathy may I ever find.","MWS"
"id26472","Steeped in misery as I am misery, alas only too real I shall be pardoned for seeking relief, however slight and temporary, in the weakness of a few rambling details.","EAP"
"id08056","I suppose some astonishment was exhibited in my countenance, for Mr. Kirwin hastened to say, ""Immediately upon your being taken ill, all the papers that were on your person were brought me, and I examined them that I might discover some trace by which I could send to your relations an account of your misfortune and illness.","MWS"
"id23159","He knew deeper vices through books, and he now longed to know them at first hand.","HPL"
"id15592","As soon as morning dawned I crept from my kennel, that I might view the adjacent cottage and discover if I could remain in the habitation I had found.","MWS"
"id08709","""Ass"" said the fourth.","EAP"
"id04043","Elinor die This is frenzy and the most miserable despair: you cannot die while I am near.""","MWS"
"id13462","Then too, we had spoken to him in advance of our quest; and I felt after my uncle's going that he would understand and assist me in some vitally necessary public explanations.","HPL"
"id01478","Our talk was on subjects, unconnected with the emotions that evidently occupied each; but we each divined the other's thought, and as our voices spoke of indifferent matters, our eyes, in mute language, told a thousand things no tongue could have uttered.","MWS"
"id06151","I was very sorry for him, for I dislike to see a German suffer; but he was not a good man to die with.","HPL"
"id00128","An' the smell was awful, like what it is araound Wizard Whateley's ol' haouse. . .","HPL"
"id16309","Nor did Adrian instruct me only in the cold truths of history and philosophy.","MWS"
"id01437","This relieves us of all doubt upon the question whether the old lady could have first destroyed the daughter and afterward have committed suicide.","EAP"
"id17059","On a certain rainy afternoon when this illusion seemed phenomenally strong, and when, in addition, I had fancied I glimpsed a kind of thin, yellowish, shimmering exhalation rising from the nitrous pattern toward the yawning fireplace, I spoke to my uncle about the matter.","HPL"
"id13843","'Let me go,' he cried; 'monster Ugly wretch You wish to eat me and tear me to pieces.","MWS"
"id12362","In the open air alone I found relief; among nature's beauteous works, her God reassumed his attribute of benevolence, and again I could trust that he who built up the mountains, planted the forests, and poured out the rivers, would erect another state for lost humanity, where we might awaken again to our affections, our happiness, and our faith.","MWS"
"id18568","Accordingly I kept north along Main to Martin, then turning inland, crossing Federal Street safely north of the Green, and entering the decayed patrician neighbourhood of northern Broad, Washington, Lafayette, and Adams Streets.","HPL"
"id13782","In Bolton the prevailing spirit of Puritanism had outlawed the sport of boxing with the usual result.","HPL"
"id06566","I went down to open it with a light heart, for what had I now to fear?","EAP"
"id25194","I reason a priori, and a diddle would be no diddle without a grin.","EAP"
"id14118","""Vase am I,"" she thought, ""vase brimful of despair's direst essence.","MWS"
"id26822","He alluded to Adrian, and spoke of him with that disparagement that the worldly wise always attach to enthusiasm.","MWS"
"id25538","I recollected my threat and resolved that it should be accomplished.","MWS"
"id00431","Raymond had evidently vacillated during his journey, and irresolution was marked in every gesture as we entered Perdita's cottage.","MWS"
"id08336","She spoke no word; and I not for worlds could I have uttered a syllable.","EAP"
"id18990","This is somewhat thick, and so are her ankles, but she has a fine pair of green stockings to cover them.","EAP"
"id24554","Thus Mark Antony composed a treatise upon getting drunk.","EAP"
"id22547","Yet where had the fellow got such an odd notion?","HPL"
"id14490","At night he would not be alone, nor would the company of a few persons calm him.","HPL"
"id19980","P. I do not comprehend.","EAP"
"id02580","When my father had arrived the storm had already begun, but he had refused to stop and leaving his horse there he walked on towards the sea.","MWS"
"id05358","Its persistence among a simple people was quite natural in view of the sudden and permanent return of abundantly fine fishing, and it soon came to be the greatest influence on the town, replacing Freemasonry altogether and taking up headquarters in the old Masonic Hall on New Church Green.","HPL"
"id06444","We both inserted the whole unopened wooden box, closed the door, and started the electricity.","HPL"
"id10195","The islands were no longer visible; whether they had passed down the horizon to the southeast, or whether my increasing elevation had left them out of sight, it is impossible to say.","EAP"
"id11425","His dreams were meanwhile increasing in vividness, and though shewing him none of the strange cities and incredible gardens of the old days, were assuming a definite cast whose purpose could not be mistaken.","HPL"
"id17845","Alas, what will become of us?","MWS"
"id19783","""The relatives of the Earl of Windsor,"" said she haughtily, ""doubtless think that I injured him; perhaps the Earl himself would be the first to acquit me, but probably I do not deserve acquittal.","MWS"
"id15816","Now, as the baying of that dead, fleshless monstrosity grows louder and louder, and the stealthy whirring and flapping of those accursed web wings circles closer and closer, I shall seek with my revolver the oblivion which is my only refuge from the unnamed and unnamable.","HPL"
"id08433","If we discover repetitions of such letters, so arranged, they will most probably represent the word 'the.' Upon inspection, we find no less than seven such arrangements, the characters being;.","EAP"
"id05956","We careered round and round for perhaps an hour, flying rather than floating, getting gradually more and more into the middle of the surge, and then nearer and nearer to its horrible inner edge.","EAP"
"id23763","His demeanour was sad; for a moment he appeared glad to see me and then he checked himself as if unwilling to betray his feelings.","MWS"
"id11271","The wound, and consequent inability of Argyropylo, caused Raymond to be the first in command.","MWS"
"id10467","At length we pulled away.","EAP"
"id16679","But it is not that the corpse was found to have the garters of the missing girl, or found to have her shoes, or her bonnet, or the flowers of her bonnet, or her feet, or a peculiar mark upon the arm, or her general size and appearance it is that the corpse had each, and all collectively.","EAP"
"id26524","Dr. West's reanimated specimens were not meant for long existence or a large audience.","HPL"
"id26341","I often wished that I had permitted her to take her own course, and engage herself in such labours for the welfare of others as might have distracted her thoughts.","MWS"
"id03443","We lowered it without difficulty, although it was only by a miracle that we prevented it from swamping as it touched the water.","EAP"
"id22193","Did not proceed up stairs.","EAP"
"id07485","The old woman always appeared out of thin air near the corner where the downward slant met the inward slant.","HPL"
"id09439","But it was not in these vortices of complete alienage that he saw Brown Jenkin.","HPL"
"id15953","Now, beware Be silent Do not urge me to your destruction.","MWS"
"id15598","The open book lay flat between us, with the picture staring repulsively upward.","HPL"
"id19749","I motioned to him to continue, which he did with renewed signs of reluctance.","HPL"
"id27715","We went out with the resolution of disputing with our foe.","MWS"
"id00017",", it will be seen at pp. and , that this illustrious chemist had not only conceived the idea now in question, but had actually made no inconsiderable progress, experimentally, in the very identical analysis now so triumphantly brought to an issue by Von Kempelen, who although he makes not the slightest allusion to it, is, without doubt I say it unhesitatingly, and can prove it, if required, indebted to the 'Diary' for at least the first hint of his own undertaking.","EAP"
"id23417","He, Valence, knew Marie, and could not be mistaken in her identity.","EAP"
"id04070","We will fight the enemy to the last.","MWS"
"id15872","""I repeat, then, that I only half felt, and never intellectually believed.","EAP"
"id08716","He was merely crass of fibre and function thoughtless, careless, and liquorish, as his easily avoidable accident proves, and without that modicum of imagination which holds the average citizen within certain limits fixed by taste.","HPL"
"id00790","Will nobody contrive a more expeditious mode of progress?","EAP"
"id02057","I spoke without much heed, and the very conclusion of what I said brought with it other thoughts.","MWS"
"id09371","This exception was found in the person of a scholar, who, although no relation, bore the same Christian and surname as myself; a circumstance, in fact, little remarkable; for, notwithstanding a noble descent, mine was one of those everyday appellations which seem, by prescriptive right, to have been, time out of mind, the common property of the mob.","EAP"
"id04818","She reposed beside her beloved, and the tomb above was inscribed with the united names of Raymond and Perdita.","MWS"
"id12567","What this meant, no one could quite be certain till later.","HPL"
"id15859","Her story was plain to him, plain and distinct as the remorse and horror that darted their fangs into him.","MWS"
"id27743","I was also sorry that I had no one with whom to converse.","HPL"
"id23113","What I saw unnerved me most surprisingly, considering its relative triviality.","HPL"
"id23021","SIR, Through our common friend, Mr. P., I have received your note of this evening.","EAP"
"id19967","If I wept he would gaze on me in silence but he was no longer harsh and although he repulsed every caress yet it was with gentleness.","MWS"
"id06222","It is indeed early,"" he continued, musingly, as a cherub with a heavy golden hammer made the apartment ring with the first hour after sunrise: ""It is indeed early but what matters it?","EAP"
"id08575","These sounds were mingled with the roaring of the sea, the splash of the chafed billows round the vessel's sides, and the gurgling up of the water in the hold.","MWS"
"id24637","I had entered the brush grown cut and was struggling along at a very slow pace when that damnable fishy odour again waxed dominant.","HPL"
"id08691","But I could discover, amidst all her repinings, deep resentment towards Raymond, and an unfading sense of injury, that plucked from me my hope, when I appeared nearest to its fulfilment.","MWS"
"id16351","After all, what is it?","EAP"
"id04184","He rode through the town, visiting the wounded, and giving such orders as were necessary for the siege he meditated.","MWS"
"id11506","This box was three feet and a half long, three feet broad, and two and a half feet deep.","EAP"
"id17651","My every motion was undoubtedly watched.","EAP"
"id17399","After that experience West had dropped his researches for some time; but as the zeal of the born scientist slowly returned, he again became importunate with the college faculty, pleading for the use of the dissecting room and of fresh human specimens for the work he regarded as so overwhelmingly important.","HPL"
"id25010","Eternal night continued to envelop us, all unrelieved by the phosphoric sea brilliancy to which we had been accustomed in the tropics.","EAP"
"id17426","""Shocking"" said the youth, calmly, and turned quietly into the chateau.","EAP"
"id20683","This was not altogether the fact: but predominant self will assumed the arms and masque of callous feeling; and the haughty lady disdained to exhibit any token of the struggle she endured; while the slave of pride, she fancied that she sacrificed her happiness to immutable principle.","MWS"
"id18359","The police have laid bare the floors, the ceilings, and the masonry of the walls, in every direction.","EAP"
"id11810","Uprearing themselves in tall slender lines of light, they thus remained burning all pallid and motionless; and in the mirror which their lustre formed upon the round table of ebony at which we sat, each of us there assembled beheld the pallor of his own countenance, and the unquiet glare in the downcast eyes of his companions.","EAP"
"id14999","Evidently the ticket agent had not exaggerated the dislike which local people bore toward Innsmouth and its denizens.","HPL"
"id03864","I was now in Holborn, and passed by a public house filled with uproarious companions, whose songs, laughter, and shouts were more sorrowful than the pale looks and silence of the mourner.","MWS"
"id27347","If I were awake I should like to die, but now it is no matter.","EAP"
"id05564","I rambled on, oppressed, distracted by painful emotions suddenly I found myself before Drury Lane Theatre.","MWS"
"id27054","He supposes that, had this been the case, it might have appeared at the surface on the Wednesday, and thinks that only under such circumstances it could so have appeared.","EAP"
"id09646","Then came the frenzied tones again: ""Carter, it's terrible monstrous unbelievable"" This time my voice did not fail me, and I poured into the transmitter a flood of excited questions.","HPL"
"id11380","Excellent friend how sincerely you did love me, and endeavour to elevate my mind until it was on a level with your own.","MWS"
"id21281","While in London these and many other dreadful thoughts too harrowing for words were my portion: I lost all this suffering when I was free; when I saw the wild heath around me, and the evening star in the west, then I could weep, gently weep, and be at peace.","MWS"
"id15493","And yet, as the members severally shook their heads and confessed defeat at the Inspector's problem, there was one man in that gathering who suspected a touch of bizarre familiarity in the monstrous shape and writing, and who presently told with some diffidence of the odd trifle he knew.","HPL"
"id26916","""What can I do?"" she cried, ""I am lost we are both for ever lost But come come with me, Lionel; here I must not stay, we can get a chaise at the nearest post house; yet perhaps we have time come, O come with me to save and protect me"" When I heard her piteous demands, while with disordered dress, dishevelled hair, and aghast looks, she wrung her hands the idea shot across me is she also mad? ""Sweet one,"" and I folded her to my heart, ""better repose than wander further; rest my beloved, I will make a fire you are chill.""","MWS"
"id07810","My productions however were sufficiently unpretending; they were confined to the biography of favourite historical characters, especially those whom I believed to have been traduced, or about whom clung obscurity and doubt.","MWS"
"id24830","But I was enchanted by the appearance of the hut; here the snow and rain could not penetrate; the ground was dry; and it presented to me then as exquisite and divine a retreat as Pandemonium appeared to the demons of hell after their sufferings in the lake of fire.","MWS"
"id10531","And it was under a horned waning moon that I saw the city for the first time.","HPL"
"id10855","I determined to follow my nose.","EAP"
"id20493","She received these tokens of returning love with gentleness; she did not shun his company; but she endeavoured to place a barrier in the way of familiar intercourse or painful discussion, which mingled pride and shame prevented Raymond from surmounting.","MWS"
"id18938","Within the wall thus exposed by the displacing of the bones, we perceived a still interior recess, in depth about four feet, in width three, in height six or seven.","EAP"
"id17834","Here were the future governors of England; the men, who, when our ardour was cold, and our projects completed or destroyed for ever, when, our drama acted, we doffed the garb of the hour, and assumed the uniform of age, or of more equalizing death; here were the beings who were to carry on the vast machine of society; here were the lovers, husbands, fathers; here the landlord, the politician, the soldier; some fancied that they were even now ready to appear on the stage, eager to make one among the dramatis personae of active life.","MWS"
"id06425","Perhaps it is madness that is overtaking me yet perhaps a greater horror or a greater marvel is reaching out.","HPL"
"id06111","This extended but little below the elbow.","EAP"
"id10637","Here, truly, was the apotheosis of the unnamable.","HPL"
"id14109","He had been saying to himself ""It is nothing but the wind in the chimney it is only a mouse crossing the floor,"" or ""It is merely a cricket which has made a single chirp.""","EAP"
"id14217","Thus it seemed to me evident that my rate of ascent was not only on the increase, but that the progression would have been apparent in a slight degree even had I not discharged the ballast which I did.","EAP"
"id14524","A low, continuous murmur, like that arising from a full, but gently flowing river, came to my ears, intermingled with the peculiar hum of multitudinous human voices.","EAP"
"id07676","I repeat that the principle here expressed, is incontrovertible; but there may be something even beyond it.","EAP"
"id16720","Evadne, once the idol of Adrian's affections; and who, for the sake of her present visitor, had disdained the noble youth, and then, neglected by him she loved, with crushed hopes and a stinging sense of misery, had returned to her native Greece.","MWS"
"id05393","By observing, as I say, the strictest system in all my dealings, and keeping a well regulated set of books, I was enabled to get over many serious difficulties, and, in the end, to establish myself very decently in the profession.","EAP"
"id13061","But I was bewildered, perplexed, and unable to arrange my ideas sufficiently to understand the full extent of his proposition.","MWS"
"id21790","But this thought, which supported me in the commencement of my career, now serves only to plunge me lower in the dust.","MWS"
"id17251","Great God If for one instant I had thought what might be the hellish intention of my fiendish adversary, I would rather have banished myself forever from my native country and wandered a friendless outcast over the earth than have consented to this miserable marriage.","MWS"
"id10810","Those who have watched the tall, lean, Terrible Old Man in these peculiar conversations, do not watch him again.","HPL"
"id25410","This idea, having once seized upon my fancy, greatly excited it, and I lost myself forthwith in revery.","EAP"
"id02685","Holding a lighted candle at this door, and shifting the position of the whole machine repeatedly at the same time, a bright light is thrown entirely through the cupboard, which is now clearly seen to be full, completely full, of machinery.","EAP"
"id12355","The apartments of the students were converted into so many pot houses, and there was no pot house of them all more famous or more frequented than that of the Baron.","EAP"
"id21664","West, young despite his marvellous scientific acquirements, had scant patience with good Dr. Halsey and his erudite colleagues; and nursed an increasing resentment, coupled with a desire to prove his theories to these obtuse worthies in some striking and dramatic fashion.","HPL"
"id10797","Valdemar, do you still sleep?""","EAP"
"id15989","Some time before noon his physician, Dr. Hartwell, called to see him and insisted that he cease work.","HPL"
"id08723","In this manner I distributed my occupations when I first arrived, but as I proceeded in my labour, it became every day more horrible and irksome to me.","MWS"
"id04766","Such a monster has, then, really existence I cannot doubt it, yet I am lost in surprise and admiration.","MWS"
"id20153","By the operation of this spring, the screw is made to revolve with great rapidity, communicating a progressive motion to the whole.","EAP"
"id22479","The scent had never for an instant been lost.","EAP"
"id05025","Throwing the links about his waist, it was but the work of a few seconds to secure it.","EAP"
"id02529","It was open wide, wide open and I grew furious as I gazed upon it.","EAP"
"id25915","Gilman could not be very clear about his reasons for this last assumption, but his haziness here was more than overbalanced by his clearness on other complex points.","HPL"
"id16755","You should have seen how wisely I proceeded with what caution with what foresight with what dissimulation I went to work I was never kinder to the old man than during the whole week before I killed him.","EAP"
"id20221","It is hard for one so young who was once so happy as I was; sic voluntarily to divest themselves of all sensation and to go alone to the dreary grave; I dare not.","MWS"
"id26588","The aspect of that ruin I cannot describe I must have been mad, for it seemed to rise majestic and undecayed, splendid and column cinctured, the flame reflecting marble of its entablature piercing the sky like the apex of a temple on a mountain top.","HPL"
"id19227","And when did the radiant Una ask anything of her Monos in vain?","EAP"
"id15299","In her resentful mood, these expressions had been remembered with acrimony and disdain; they visited her in her softened hour, taking sleep from her eyes, all hope of rest from her uneasy mind.","MWS"
"id06942","God raises my weakness and gives me courage to endure the worst.","MWS"
"id16673","Windows there were none.","EAP"
"id17924","His own face was in shadow, and he wore a wide brimmed hat which somehow blended perfectly with the out of date cloak he affected; but I was subtly disquieted even before he addressed me.","HPL"
"id08453","What other possible reason could there have been for her so blushing?","EAP"
"id15828","I could not have been more surprised at the sound of the trump of the Archangel.","EAP"
"id07906","And here how singularly sounds that word which of old was wont to bring terror to all hearts throwing a mildew upon all pleasures Una.","EAP"
"id17730","Thinking earnestly upon these points, I remained, for an hour perhaps, half sitting, half reclining, with my vision riveted upon the portrait.","EAP"
"id17972","Upon my word of honor, this was not an unreasonable price for that dickey.","EAP"
"id10514","Give me the name of friend; I will fulfill its duties; and if for a moment complaint and sorrow would shape themselves into words let me be near to speak peace to your vext soul.""","MWS"
"id23319","The glare from the enkindled roof illumined its inmost recesses.","EAP"
"id00661","The king has ordered some novel spectacle some gladiatorial exhibition at the hippodrome or perhaps the massacre of the Scythian prisoners or the conflagration of his new palace or the tearing down of a handsome temple or, indeed, a bonfire of a few Jews.","EAP"
"id01817","I might as well have attempted to arrest an avalanche Down still unceasingly still inevitably down I gasped and struggled at each vibration.","EAP"
"id13940","They who dream by day are cognizant of many things which escape those who dream only by night.","EAP"
"id00983","Long and earnestly did I continue the investigation: but the contemptible reward of my industry and perseverance proved to be only a set of false teeth, two pair of hips, an eye, and a bundle of billets doux from Mr. Windenough to my wife.","EAP"
"id16041","After great trouble, occasioned by the intractable ferocity of his captive during the home voyage, he at length succeeded in lodging it safely at his own residence in Paris, where, not to attract toward himself the unpleasant curiosity of his neighbors, he kept it carefully secluded, until such time as it should recover from a wound in the foot, received from a splinter on board ship.","EAP"
"id12549","It was an odd scene, and because I was strange to New England I had never known its like before.","HPL"
"id00877","It was a key a guide to certain gateways and transitions of which mystics have dreamed and whispered since the race was young, and which lead to freedoms and discoveries beyond the three dimensions and realms of life and matter that we know.","HPL"
"id11109","As the hour for its arrival drew near I noticed a general drift of the loungers to other places up the street, or to the Ideal Lunch across the square.","HPL"
"id07619","It seems to me rather merciful that I do not, for they were terrible studies, which I pursued more through reluctant fascination than through actual inclination.","HPL"
"id19955","Her manners were cold and repulsive.","MWS"
"id07755","all made o' squirmin' ropes . . .","HPL"
"id15769","She is very clever and gentle, and extremely pretty; as I mentioned before, her mien and her expression continually remind me of my dear aunt.","MWS"
"id19584","Soon after we heard that the poor victim had expressed a desire to see my cousin.","MWS"
"id12293","Looking about, I saw that the ceiling was wet and dripping; the soaking apparently proceeding from a corner on the side toward the street.","HPL"
"id25325","Nitrogen, on the contrary, was incapable of supporting either animal life or flame.","EAP"
"id26289","We read of centre and wing in Greek and Roman history; we fancy a spot, plain as a table, and soldiers small as chessmen; and drawn forth, so that the most ignorant of the game can discover science and order in the disposition of the forces.","MWS"
"id22401","Engaged in researches which absorbed our whole attention, it had been nearly a month since either of us had gone abroad, or received a visiter, or more than glanced at the leading political articles in one of the daily papers.","EAP"
"id23973","Whisper it not, let the demons hear and rejoice The choice is with us; let us will it, and our habitation becomes a paradise.","MWS"
"id15555","Her lower tones were absolutely miraculous.","EAP"
"id27512","""On Monday, one of the bargemen connected with the revenue service, saw a empty boat floating down the Seine.","EAP"
"id18243","I am a farce and play to him, but to me this is all dreary reality: he takes all the profit and I bear all the burthen.","MWS"
"id17216","We have already reached a very high latitude; but it is the height of summer, and although not so warm as in England, the southern gales, which blow us speedily towards those shores which I so ardently desire to attain, breathe a degree of renovating warmth which I had not expected.","MWS"
"id14744","He was nearly killed with kindness.","MWS"
